,each_tweet_id_z,each_tweet_date_z,each_tweet_text_z
0,1566596644145094660,2022-09-05 01:18:40+00:00,"Tensor Flow Dev Cert: 17:396-398, Pandas data frame functions and attributes!

https://t.co/te7oKzDtL9… https://t.co/h0qO8cK70Q"
1,1566256154854019072,2022-09-04 02:45:41+00:00,"Tensor Flow Dev Cert: 17:395, Pandas data frame functions and attributes!

https://t.co/hviqTXtQ0f… https://t.co/ieBoKDMMev"
2,1565888983963410433,2022-09-03 02:26:41+00:00,"Tensor Flow Dev Cert: Pandas series and data frames!

https://t.co/WhK4H0rseo

https://t.co/WvdDG5A0Ba… https://t.co/zczkrnXiM9"
3,1565535825877770240,2022-09-02 03:03:21+00:00,"Tensor Flow Dev Cert: Anaconda installed, py hello world and a little bit of pandas!

https://t.co/3lw1Edo2Xy… https://t.co/LykkgM2lpF"
4,1565494153563209732,2022-09-02 00:17:46+00:00,"Tensor Flow Dev Cert: Bump your grade up one whole letter using this trick!

https://t.co/v2RLL5ROsy… https://t.co/6Rna01dSm4"
5,1565491004970606596,2022-09-02 00:05:15+00:00,"Tensor Flow Dev Cert: Personalized Jones Soda bottles make for a perfect gift!

https://t.co/yRStCncsFj… https://t.co/reTEovGQTn"
6,1565185315102490626,2022-09-01 03:50:33+00:00,"Tensor Flow Dev Cert: GitHub repo and loading Jupyter notebooks!

https://t.co/y3Ao7o4bTi

https://t.co/cKWPv8kJ3J… https://t.co/3XW823EfeA"
7,1565166463316631552,2022-09-01 02:35:38+00:00,"Thank you for 1,000 followers!

https://t.co/BStYP41mi0

#barncat_tfdc"
8,1564808371634667521,2022-08-31 02:52:43+00:00,"Tensor Flow Dev Cert: Pandas!

https://t.co/ohaL7xa71v

https://t.co/al2UCdlb7n

https://t.co/wE79ByeTID

#barncat_tfdc"
9,1564638086272778240,2022-08-30 15:36:03+00:00,"Tensor Flow Dev Cert: Working through the Pandas primer now!

https://t.co/7qPnIpi0kp

https://t.co/FVMJWwVpXs

#barncat_tfdc"
10,1564418978331693057,2022-08-30 01:05:24+00:00,"Tensor Flow Dev Cert: Step 6 and the end of section 16!

https://t.co/HZlLmZ4qOF

https://t.co/BbxmswXGQ0… https://t.co/rZJiv0DWT4"
11,1564073768963776512,2022-08-29 02:13:40+00:00,"Tensor Flow Dev Cert: Step 5 of the Machine Learning framework...Modeling 4!

https://t.co/iX9G7DfsAb… https://t.co/NuZHZIoP0a"
12,1563727731854041088,2022-08-28 03:18:38+00:00,"Tensor Flow Dev Cert: Step 5 of the Machine Learning framework...Modeling 3!

https://t.co/ZoEuzDa0Qt… https://t.co/m9BpCtCA4X"
13,1563340134560346112,2022-08-27 01:38:28+00:00,"Tensor Flow Dev Cert: Step 5 of the Machine Learning framework...Modeling 2!

https://t.co/3H0lzRdi4U… https://t.co/FHH0tQUsqB"
14,1563229982172024832,2022-08-26 18:20:45+00:00,"If you're trying to do any kind of studying make sure you do a few short workouts every day! Jump roping is fun, ch… https://t.co/FkgsjVIDu9"
15,1562998981696729090,2022-08-26 03:02:51+00:00,"Tensor Flow Dev Cert: Step 5 of the Machine Learning framework...Modeling 1!

https://t.co/HaZC08Eojb… https://t.co/YCkP1MLQDK"
16,1562636598894010368,2022-08-25 03:02:52+00:00,"Tensor Flow Dev Cert: Step 4 of the Machine Learning framework...Features!

https://t.co/4v8m3Qwcyi… https://t.co/PemhO9uarI"
17,1562258736802144256,2022-08-24 02:01:22+00:00,Tensor Flow Dev Cert: Steps 2 and 3 of the Machine Learning framework...the Data and Evaluation steps!… https://t.co/82OBSNtWAq
18,1561913523357323264,2022-08-23 03:09:37+00:00,"Tensor Flow Dev Cert: Step 1 of the Machine Learning framework...the Problem step!

https://t.co/1vMA2xzgOY… https://t.co/C68ApcSiwC"
19,1561900233344311298,2022-08-23 02:16:48+00:00,"Tensor Flow Dev Cert: Overview of the Machine Learning framework!

https://t.co/PjzAah6gyd

https://t.co/oZ2KNLzqxk… https://t.co/J7Lytxq3GL"
20,1561490754693996547,2022-08-21 23:09:41+00:00,"Tensor Flow Dev Cert: I'm working through the Data Science primer now!

https://t.co/3AHZRqz7Sa

https://t.co/226KOMYY84

#barncat_tfdc"
21,1561465015739236353,2022-08-21 21:27:25+00:00,"Tensor Flow Dev Cert: Doing at least a little bit every day is the best way to form a habit! No excuses, no days of… https://t.co/1sHIPhzdgL"
22,1561093497259687936,2022-08-20 20:51:08+00:00,"What's a girl to do? Become a Machine Learning powerhouse, a skill that is both rare and in high demand!… https://t.co/Dua0rxlOEx"
23,1561088396902154241,2022-08-20 20:30:52+00:00,"Tensor Flow Dev Cert: Finished the first primer!

https://t.co/gRWhelnDOn

https://t.co/Rn6oEbyYsY

#barncat_tfcd"
24,1560779022686212096,2022-08-20 00:01:31+00:00,"Tensor Flow Dev Cert: Big Data and ML like Peanut Butter and Chocolate!

https://t.co/WZkDvHf0qm… https://t.co/Qxv4cRstPK"
25,1560417760122904577,2022-08-19 00:05:59+00:00,In Machine Learning you give life to a creature made of code that learns how to complete a task by hacking away at… https://t.co/RWBycWfn1Q
26,1560405687536058368,2022-08-18 23:18:01+00:00,"Tensor Flow Dev Cert: AI, ML, and Google's Teachable Machine!

https://t.co/XMNgH7DRFP

https://t.co/sHUX5KNiJI… https://t.co/0a9K0p1IbC"
27,1560016912804974596,2022-08-17 21:33:10+00:00,"Tensor Flow Dev Cert: Accountability!

https://t.co/WLz2scoXIk

https://t.co/ZwZ34wp8xr

https://t.co/0hfvQrLVXL

#school #zerotomastery"
28,1559733048031199240,2022-08-17 02:45:11+00:00,"My dream is to get the Tensor Flow Developer Certificate!

https://t.co/qDRfUuv3sb

https://t.co/gtbdLWrvtJ… https://t.co/KNX0fOHH90"
29,1559650820827877376,2022-08-16 21:18:27+00:00,"First step in my class is a refresher of Machine Learning and I'm excited to start it!

https://t.co/zi7JmnJVm6… https://t.co/L0cOPIisLH"
30,1559350680103559171,2022-08-16 01:25:48+00:00,"Like and follow for updates on my quest to attain the Tensor Flow Developer Certificate!

https://t.co/AnPZVH1cMB

https://t.co/80zSyDPBEk"
