,each_tweet_id_z,each_tweet_date_z,each_tweet_text_z
0,1566878826273054724,2022-09-05 19:59:58+00:00,"Day 263 kicking daily! Golf for speed and soft touch!

https://t.co/twdEFJsnvP

https://t.co/nJnZSCV9zn… https://t.co/FGhlOFRYAG"
1,1566498237237927942,2022-09-04 18:47:38+00:00,"Day 262 kicking daily! Takraw Sunday!

https://t.co/Xd8WUOKjF7

https://t.co/9bPwNKIDwX

https://t.co/FoKOQ1ilsp… https://t.co/x97Z5y4KoF"
2,1566072889484492801,2022-09-03 14:37:27+00:00,"Day 261 kicking daily! Golf ball Saturday!

https://t.co/L3EX0VDdiR

https://t.co/4BQyGGX4ea… https://t.co/mUpspF1DBW"
3,1565743737585733634,2022-09-02 16:49:31+00:00,"Day 260 kicking daily! Golf ball on the hill!

https://t.co/6t9cQ3m4tK

https://t.co/FfuUn1ETYS… https://t.co/2o8PkDxrFZ"
4,1565362937849647104,2022-09-01 15:36:22+00:00,"Day 259 kicking daily! Golf ball double post kicks off the long weekend early!

https://t.co/4HYiIUDArt… https://t.co/254xnSer7Y"
5,1565358829587546112,2022-09-01 15:20:02+00:00,"Day 259 kicking daily! Golf ball is pure chaos!

https://t.co/5E6TIJ516u

https://t.co/68QZQQsFhn… https://t.co/r15zyk2cUo"
6,1565072204991270914,2022-08-31 20:21:05+00:00,"Day 258 kicking daily! The next logical step is golf ball!

https://t.co/6SZgR7Hvwo

https://t.co/7a5vsSbsWO… https://t.co/FkEOGYG85q"
7,1564604683343335425,2022-08-30 13:23:20+00:00,Day 257 kicking daily! Range of hip motion is limited and my knee suffers for it...no good...fuller range is needed… https://t.co/81hLyfYkls
8,1564602177905205248,2022-08-30 13:13:22+00:00,"Day 257 kicking daily! Kicking before breakfast!

https://t.co/6BCoJy7sCk

https://t.co/TMsTRhUAR0… https://t.co/y0rdLgGnpc"
9,1564249734482739200,2022-08-29 13:52:53+00:00,"Day 256 kicking daily! Yummy panini 🥪

https://t.co/e7cuq7oned

https://t.co/LsmIzKapEy

https://t.co/AkKbmEg26v… https://t.co/kNR8ltGc9j"
10,1563940529850703872,2022-08-28 17:24:13+00:00,"Day 255 kicking daily! Lazy Sunday with putt-putt golf and a museum outing!

https://t.co/mgTDeHEUEj… https://t.co/1f4YrThb50"
11,1563546513560993792,2022-08-27 15:18:32+00:00,"Day 254 kicking daily! New T-shirt and a Boss footbag 🤩

https://t.co/z3O9QjaXVy

https://t.co/K3jsJeN8mB… https://t.co/6zHbcp2RKC"
12,1563155679975976961,2022-08-26 13:25:30+00:00,"Day 253 kicking daily! Back to tennis ball!

https://t.co/nQeRZxmP5m

https://t.co/BCfsYFqKcA… https://t.co/LoVSdjWNUp"
13,1562798076963614722,2022-08-25 13:44:31+00:00,"Day 252 kicking daily! New purple chain mail footbag!

https://t.co/ypftMHCr4p

https://t.co/n2U0Sjw99g… https://t.co/WewbQS7Mi0"
